question,answer_date,ministry,question_type,question_no,question_by,question_title,question_description,answer
150074,11.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,2517,SHRI RAMDAS AGARWAL,HOARDING AND BLACK MARKETING OF ESSENTIAL COMMODITIES .,"(a) whether hoarding and black marketing of essential commodities is rampant in the country leading to their shortage and rise in prices; (b) if so, the details thereof indicating current demand and supply situation of these commodities in the country; (c) whether State Governments have been directed to ensure declaration of excess stocks by wholesellers and take action against hoarders and black marketeers; and (d) if so, the details thereof indicating steps taken by States to enforce the provisions of the Essential Commodities Act alongwith the number of raids conducted, hoarders arrested and goods confiscated during current year, Statewise, till date?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) to (d) : The prices of some essential commodities have risen during the current year. Prices have risen on account of various factors like poor rainfall, high international prices, rising demand etc. In commodities like pulses and edible oils, imports take place every year because domestic production is not sufficient; 15-20% of pulses and 40-45% of edible oils are imported to meet the domestic demand. In the case of rice, due to poor monsoon, kharif production is likely to be lower than the demand. Similarly in the case of sugar, production has fallen short of demand in 2008-09. In order to check hoarding and blackmarketing, the Government of India has taken the following steps:- (i) Powers have been vested with State Governments for taking action under the provisions of Essential Commodities Act, 1955 and Prevention of Blackmarketing and Maintenance of Supplies of Essential Commodities Act, 1980. (ii) To enable the State Governments/UT Administrations to take effective action for undertaking de-hoarding operations under the Essential Commodities Act, 1955, it was decided to enable State Governments to impose stockholding limits by keeping in abeyance some provisions of the Central Order dated 15.02.2002 in respect of pulses, edible oils, edible oilseeds, rice and paddy for the period upto 30.09.2010. The commodity wheat which had also been included in the above list has been removed w.e.f.01.04.2009. (iii) Further, in respect of sugar, the Central Government have also issued Orders providing for stock-holding/turnover limits which are as follows: Stockholding: (i) in Kolkata and extended area - (a) recognized dealers who import sugar from outside West Bengal- 10,000 quintals; (b) other recognized dealers -2000 quintals; (ii) in other places ‚<U+0080><U+0093> 2000 quintals. Turnover: No dealer can hold the stock of sugar for a period exceeding 30 days from the date of receipt by him of such stock. (iv) The details of the raids conducted, value of goods confiscated and persons booked for violation of rules under the Essential Commodities Act, 1955, during the year 2009 (updated upto 30.11.2009) as reported by State Governments/UT Administrations is at Annexure I . (v) The State Governments/UT Administrations are empowered to detain such persons under the Prevention of Blackmarketing and Maintenance of Supplies of Essential Commodities Act, 1980, whose activities are found to be prejudicial to the maintenance of supplies of commodities essential to the community. Details of detention orders issued under the said Act and as reported to the Central Government by the State Governments/UT Administrations during the year 2009 (upto 30.11.2009) is given below:- Name of the State 2009 (upto 30.11.2009) Gujarat 26 Tamil Nadu 107 Orissa 02 Maharashtra 02 Total 137 (vi) The State Governments/UT Administrations have been repeatedly advised to strictly enforce both the Acts and also monitor such enforcements."
150075,11.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,2519,DR. GYAN PRAKASH PILANIA,NEGATIVE INFLATION AND RISE IN PRICES OF ESSENTIAL GOODS .,"(a) whether inspite of negative inflation, the prices of essential commodities have gone up substantially over the past one year; (b) whether there is a huge difference between wholesale and retail prices; (c) if so, the rate of increase in prices of cereals, pulses, salt, fruits and vegetables during the past one year and the reasons therefor; and (d) the steps taken by Government to reduce the Consumer Price Index to protect the poor and the economically weak from such high prices?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) : Yes Sir. (b) : No Sir. (c) : The All India average wholesale prices has increased in the case of rice by 8.83%, wheat by 13.24%, Pulses such as Tur dal by 65.83%, Gram by 1.83%, salt by 14.20%, Potato by 115.44 % and Onion by 54.52% respectively over the past one year. The increase in prices of the rice and wheat can be attributed partly due to the increase in MSP. Domestic prices of pulses rose mainly on account of the supply- demand mismatch and hardening of international prices. The increase in price of salt was due to un seasonal and intermittent rains during the September/December 2008 in the salt producing areas of Gujarat and Rajasthan during manufacturing season. Weather, apart from seasonal factors, may have contributed to increase in prices of vegetables and fruits. Potato prices increased as during 2008-09 potato production was estimated to be less in the states of Bihar, West Bengal and M.P because of late blight disease and less water availability in M.P. Onion prices increased primarily on account of the floods in Andhra Pradesh and Karnataka and the heavy rain in Maharashtra, which affected the kharif crop of onion and its supply to markets across the country. (d) : The Government has taken steps to protect poor sections of society through Targeted Public Distribution System (TPDS) and Antodaya Anna Yojna (AAY). Under the TPDS, wheat, rice, coarse grains and kerosene are allocated to State Governments/UTs for distribution through the Fair Price Shops. The Central Issue Price for rice and wheat has not been revised since 2002. For wheat it remains at Rs 4.15 per kg for BPL and Rs 2 per kg for AAY. For rice, it is Rs 5.65 per kg for BPL and Rs 3 per kg for AAY. Pulses are distributed to the State Governments under the PDS @ Rs.10 per kg subsidy scheme. In view of the rise in prices of essential commodities witnessed during the recent past, Government has allocated imported edible oils to State/UT Governments. States are free to distribute the oil through whatever outlets they decide on."
150076,18.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,3289,DR. JANARDHAN WAGHMARE,UNHYGIENIC PACKAGED DRINKING WATER BOTTLES .,"(a) whether Government is aware that most of the packaged drinking water bottles/jars are highly unhygienic; (b) whether the bureau of Indian Standards has revealed that most of the samples of packaged water bottles failed the drinking water standards set by it; (c) if so, whether Government proposes to enforce compulsory ISI mark on each packaged water bottle being sold in the markets; and (d) the details of other steps Government proposes to take in this regard?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) : Packaged Drinking Water in bottles/jars with Bureau of Indian Standards (BIS) Certification (ISI Mark) are generally not unhygienic. (b) : Out of 3061 samples of Packaged Water tested by BIS during the period 01-12-2008 to 30-11-2009, 824 samples failed. (c) : The Ministry of Health and Family Welfare has already brought Packaged Drinking Water under mandatory certification of BIS under Prevention of Food Adulteration (PFA) Rules, 1955. Action in cases of violation of the PFA Rules, 1955 is taken against the offenders by the State Governments/Union Territory Administrations concerned. (d) : BIS on its part ensures the quality of Packaged Drinking Water manufactured by its licensees through a well defined certification scheme wherein visits are made to the licensees‚<U+0080><U+0099> premises, samples are drawn from factory and market to check conformity of the product to the relevant Indian Standard. In cases of deviation from the prescribed standard, action is taken as per the provisions of the BIS Act, 1986 and the rules and regulations framed thereunder."
150077,18.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,3290,SHRIMATI SHOBHANA BHARTIA,CREATION OF STRATEGIC RESERVE OF WHEAT AND RICE .,"(a) whether Government has proposed to ban futures trading of almost all farm products and to create a strategic reserve of wheat and rice to control spiralling commodity prices; (b) if so, the details thereof; (c) whether Government also proposes to create a strategic reserve of pulses to check its prices; and (d) if so, the details of strategies formulated to ensure ban on futures trading on almost all farm products?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) & (b): No Sir. The forward trading in a commodity is a mechanism for price discovery and price risk management and not a mechanism to check price rise. The futures market gives price signals for future periods of time based on the most likely supply and demand situation at those points of time and has been observed not to lead to price rise. An Expert Committee appointed by the Government of India under the Chairmanship of Planning Commission Member Prof. Abhijit Sen to examine whether futures market was responsible for rise in the prices of essential commodities in its report submitted in April 2008 did not find futures market responsible for the increase of the prices of essential commodities. In order to ensure food security in the country, to keep the prices under check and to maintain adequate supplies of food grains for Targeted Public Distribution System, other welfare scheme, etc., it has been decided by the Government that a strategic reserve consisting of 30 lakh tonnes of wheat and 20 lakh tonnes of rice will be maintained by Food Corporation of India. (c) : India has always been a chronic net importer of pulses due to the mismatch between domestic supply and demand for pulses. A reserve stock of pulses is not contemplated in view of its limited availability. (d) : In view of the answers (a) and (b) above, there is no proposal to ban futures trading in farm products group as of now."
150078,18.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,3291,SHRI GOVINDRAO ADIK,ADULTERATION IN TOOR AND BATRI DAL .,"(a) whether Government is aware that ‚<U+0080><U+0098>toor dal‚<U+0080><U+0099> (Pigeon Peas) is being adulterated with lathyrus sativas (kesari gram or kesari dal) and batri dal by miscreants in the market; (b) if so, Government`s response thereto; and (c) the details of the steps taken or proposed to be taken against such miscreants?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) to (c): No such report has been received by the Government. The Rule 44 (A) of Prevention of Food Adulteration Rules, 1955 provide that no person in any State shall, with effect from such date as the State Government concerned may by notification in the Official Gazette specify in this behalf, sell or offer or expose for sale, or have in his possession for the purpose of the sale, under any description or for use as an ingredient in the preparation of any article of food intended for sale - Kesari gram (lathyrus salivus) and its products, Kesari dal and its products, Kesari dal flour and its products and mixture of Kesari dal and Bengal gram dal or any other dal. The implementation of PFA Rules, 1955 is entrusted to Food (Health) Authorities of State/U.Ts. In case of any violation to the provisions of the PFA Act / Rules, penal action is taken against the offenders by the State Governments."
150079,18.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,3296,SHRI A. ELAVARASAN,BLACK MARKETING AND HOARDING OF ESSENTIAL COMMODITIES .,"(a) whether Government is aware that black marketing and hoarding of essential commodities is on the rise in the country leading to rise in prices and shortage; (b) if so, the details thereof; (c) the number of complaints received in this regard and action taken against those people involved in hoarding and black marketing; (d) whether Government has directed State Governments to ensure declaration of excess stocks by wholesellers to prevent hoarding and black marketing; and (e) if so, the details thereof?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) & (b): The prices of some essential commodities have risen during the current year on account of various factors like poor rainfall, high international prices, rising demand etc. In commodities like pulses and edible oils, imports take place every year because domestic production is not sufficient; 15-20% of pulses and 40-45% of edible oils are imported to meet the domestic demand. In the case of rice, due to poor monsoon, kharif production is likely to be lower than the demand. Similarly in the case of sugar, production has fallen short of demand in 2008-09. (c) : No such records are maintained centrally. Powers have been vested with State Governments for taking action under the provisions of Essential Commodities Act, 1955 and Prevention of Blackmarketing and Maintenance of Supplies of Essential Commodities Act, 1980. However, the action taken by the State Governments under the Essential Commodities Act, 1955 against persons involved in hoarding , black marketing etc. in respect of essential commodities during the year 2009 (upto 30.11.2009) as reported by them is as under : YEAR No. of No. of Persons No. of Persons No. of Persons Value of goods raids arrested prosecuted convicted confiscated Rs. in Lakhs) 2009 131875 6436 3351 46 15518.47 The State Governments/UT Administrations have taken action and reported detentions under the Prevention of Blackmarketing and Maintenance of Supplies of Essential Commodities Act, 1980. The total number of detentions in 2009 ( upto 30.11.2009) is 137. (d) & (e): To enable the State Governments/UT Administrations to take effective action for undertaking de-hoarding operations under the Essential Commodities Act, 1955, it was decided to enable State Governments to impose stockholding limits by keeping in abeyance some provisions of the Central Order dated 15.02.2002 in respect of pulses, edible oils, edible oilseeds, rice and paddy for the period upto 30.09.2010. The commodity wheat which had also been included in the above list has been removed w.e.f. 01.04.2009. Further, in respect of sugar, the Central Government have also issued Orders providing for stock-holding/turnover limits which are as follows: Stockholding: (i) in Kolkata and extended area - (a) recognized dealers who import sugar from outside West Bengal- 10,000 quintals; (b) other recognized dealers -2000 quintals; (ii) in other places ‚<U+0080><U+0093> 2000 quintals. Turnover: No dealer can hold the stock of sugar for a period exceeding 30 days from the date of receipt by him of such stock. The State Governments/Union Territory Administrations have fixed the stock limits as per their requirement. As per information furnished by the State Government/UT Administrations 23 State Governments/UTs have either issued stock limits for all the six items or for individual items or have issued only licensing requirements/ stock declaration (of these 23, 18 States/UTs have actually issued stock limit Orders; 5 States/UTs have issued licensing requirements/stock declarations)."
150080,18.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,3297,SHRI MOINUL HASSAN,SPECULATIVE TRADING OF ESSENTIAL COMMODITIES .,"(a) whether Government is aware that even before the impending drought conditions arose, speculative trading in essential commodities was playing havoc with the prices; (b) whether Government is also aware that in the month of June, 2009 alone, the cummulative value of trading in the commodity exchanges, according to the report of the Forward Markets Commission of India was a staggering Rs.15,64,114.96 crores from Rs. 2,21,888.06 crores in June, 2007; and (c) if so, by when Government would ban the speculative trading in essential commodities in order to control the price rise?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) : Facts show that futures trading in essential commodities has not been responsible for the price rise in recent period. There is no future trading in Urad and Tur since January 2007 when it was suspended. But the prices of these commodities are showing sharp increase during 2008-09 and 2009-10. The year-on-year price increase (in terms of Wholesale Price Index) at the end of financial year 2008-09 (29.3.2009) was 14.7% for Urad and 17.1% for Tur. During the year 2009-10 (as on 28.11.09) Y-o-Y increase was 59.46% and 72.25% for Urad and Tur respectively. As against this there is futures trading in Gram. Year on Year change of Prices of Gram was negative at -6.8% in 2008-09 and 4.32% during 2009-10 (as on 28.11.09) respectively. Therefore, the increase in prices of commodities need not necessarily be attributed to future trading. In fact an Expert Committee appointed by the Government of India under the Chairmanship of Planning Commission‚<U+0080><U+0099>s Member Prof. Abhijit Sen to examine whether futures markets was responsible for rise in the prices of essential commodities in its report submitted in April 2008 did not find futures market responsible for the increase of the prices of essential commodities. The forward trading in a commodity is a mechanism for price discovery and price risk management and not a mechanism to check price rise. The futures market gives price signals for future periods of time based on the most likely supply and demand situation at those points of time. The market is tightly regulated. There are various effective tools like margins, price band, open interests limit etc. which the Regulator (Forward Market Commission) employs to regulate futures trading. (b) : The total value of trade during period three months of April to June 2009 was Rs.15, 64,114.96. The value of trade during the corresponding period of April-June 2008 was Rs.11,15,326.99 and that of the corresponding period of April-June 2007 was Rs.8,97,816.52. Figures for the month of June 2009, June 2008 and June 2007 were Rs. 5,77,056.718 crores, Rs. 4,13,551.34 crores and Rs. 2,82,550.35 crores respectively. (c) : In view of the answer to part (a) above, there is no case for banning futures (speculation) trading in essential commodities."
150081,18.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,3303,Dr. E.M. Sudarsana Natchiappan,FUNCTIONING OF CONSUMER COURTS .,"(a) the number of consumer courts which are working in different States and the details of data with regard to pending, disposed off and appealed cases against the order to the Supreme and High Courts after National Appellate Tribunal; and (b) whether there is any demand for more consumer courts and additional National Appellate Tribunal?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) : A total of 35 State Commissions and 621 District Fora have been established in different States/UTs. The details of the data as informed by National Consumer Disputes Redressal Commission (NCDRC), which has administrative control over all State Commissions as per provisions of Consumer Protection Act with regard to the filing, disposal and pending of cases is enclosed at Annexure ‚<U+0080><U+0098>A‚<U+0080><U+0099> collectively. As regards Appeal filed against the order of the National Consumer Disputes Redressal Commission before the Supreme Court and the High Court, the data is not available with NCDRC. (b) : In some of the districts, additional District Fora are also functioning. Additional Benches of the State Commissions are functioning in the following States: (a) Gujarat - 03 Additional Benches (b) Maharashtra - Circuit Bench at Nagpur & Aurangabad (c) Uttar Pradesh - 01 Additional Bench (d) West Bengal - 01 Additional Bench (e) Madhya - Pradesh 01Additional Bench (non-functional) Section 9 of the Consumer Protection Act, 1986 provides that a Consumer Disputes Redressal Forum, to be known as the ‚<U+0080><U+009C>District Forum, be established by the State Government in each district of the State by notification. It further provides that the State Government may, if it deems fit, establish more than one District Forum in a district. In other words, the State Government can establish more than one District Forum in the district. Some of the State Governments have established more than one District Forum in a district, where the institution of cases are more. Presently, in the National Commission 5 Benches are functioning. However, a proposal for creation of ad-hoc Benches in the National Commission has been received."
150082,18.12.2009,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",UNSTARRED,3304,Smt. Jaya Bachchan,EFFECTS OF RISE IN PRICES OF ESSENTIAL ITEMS .,"(a) whether it is a fact that according to some reports per capita intake of calories by the poor has further gone down following the unprecedented rise in prices of essential commodities; (b) if so, the steps Government has taken to focus on cheaper and healthier calories‚<U+0080><U+0099> substitutes; and (c) the steps being taken to bring down the prices of essential items?","THE MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND THE MINISTER OF STATE IN THE MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION (Prof. K.V. Thomas) (a) & (b): Government is not aware of the reports of decline in per capita calorie intake due to rise in prices of essential commodities. However, the Government advocates intake of balanced diet from locally available low cost foods as part of nutrition education and counseling imparted through several programmes such as Integrated Child Development Services (ICDS) and Food and Nutrition Board in Ministry of Women and Child Development. The ICDS Scheme being implemented by Ministry of Women and Child Development caters to children of 0-6 years and pregnant and lactating mothers. The component of Supplementary Nutrition in the ICDS is primarily designed to bridge the gap between the Recommended Dietary Allowances (RDA) and the Average Dietary Intake (ADI). The Government has also enhanced the financial as well as nutritional norms for different categories of beneficiaries. There is also the Nutrition Programme for Adolescent Girls (NPAG) Scheme which is being implemented in 51 districts in the country. Under this scheme, 6 kg of food-grains is given to under nourished adolescent girls with body weight less than 30 kg in the age group of 11-15 years and 35 kg in the age group of 15-19 years. As a separate initiative, Government has taken steps to promote the consumption of yellow peas through its sale in select retail outlets of NAFED, NCCF, Kendriya Bhandar and Mother Dairy in Delhi. (c) : The Government Measures to check the prices of essential commodities are given in Annexure."
150084,01.12.2009,FINANCE,UNSTARRED,1252,Shri Praveen Rashtrapal,VIOLATION OF ECB GUIDELINES,"whether it is a fact that some firms dealing in power, communication and infrastructure sectors have violated the External Commercial Borrowings (ECB) guidelines of the Reserve Bank of India (RBI) during the last two years; If so, the details thereof with names of companies, penalties imposed, etc. by RBI; Whether some big industrial groups involved in violation of ECB guidelines have evolved new mechanism / strategy to bye-pass the pending liability and has approached RBI for ECB approval by their other group or subsidiary companies; and If so, what steps Government has taken to ensure that such subsidiary or new companies of single-umbrella group do not circumvent the RBI guidelines unless their pending violations are resolved?","MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a): Yes, Sir. (b): The details of companies who have violated the ECB guidelines and penalties imposed by RBI thereto are given below. 1) Reliance Infrastructure Ltd (RIL) (formerly Reliance Energy Ltd) End-use violations have been observed by RBI in the ECBs raised by RIL pertaining to two ECBs for USD 360 million and USD 150 million. The company brought the proceeds raised through the said ECBs to India and kept these invested in debt mutual funds, pending utilization for the declared end-use in gross violation of the extant ECB guidelines. On an application filed by the company for compounding the end-use violations relating to the ECB of USD 360 million, a compounding order was passed in terms of Foreign Exchange (Compounding Proceedings) Rules, 2000 and a penalty of Rs. 124.68 crore was levied. Since RIL did not pay the penalty in accordance with the Rules and the Provisions of FEMA, the violations were referred to the Directorate of Enforcement (DoE) in November 2008 for adjudication. 2) Reliance Natural Resources Ltd (RNRL) RNRL issued FCCB of USD 300 million in October 2006 for the purpose of ‚<U+0080><U+0098>project‚<U+0080><U+0099> under the automatic route. USD 275 million (Rs 1127 crore) were brought to India in May 2007 and were parked in debt mutual funds pending utilization. Subsequently, in Aug 2008, an amount of Rs.1160 crore (USD 275 million) was invested in a wholly owned subsidiary in Singapore. Since the alleged transactions have cross-border angle and since the Reserve Bank does not have the privileges of investigation, the issue has been referred to the DoE for undertaking investigation in the matter. 3) Reliance Communications Ltd (RCom) A study of the audited report for the year March 2007 revealed that the unutilized money of Rs. 5,142 crore raised through issue of various FCCBs by the company has been deposited interest free with a wholly owned subsidiary which in turn has held the same in bank deposits. After ascertaining the facts, RCom was advised in August 2009 to apply for compounding under FEMA 1999. The company in their response has stated that the proceeds of the FCCBs were utilized for permitted end-use (telecommunication capital expenditure) taking into account the business exigencies and denied any contravention of the Regulation / Direction under FEMA. The reply is being examined for taking further action. (c): Two companies belonging to the Anil Dhirubhai Ambani Group (ADAG) namely Rosa Power Supply Company Ltd (RPSCL) and Vidarbha Industries Power Ltd (VIPL) have approached the Reserve Bank of India under the approval route for raising ECB of USD 550 million each towards Import & local sourcing of capital goods for implementing power projects. (d): The regulatory framework for ECB is applicable for corporate registered under the Companies Act, 1956. As per RBI master circular No. 07/2009-10 dated July 1, 2009 ‚<U+0080><U+009C>corporate which have violated the extant ECB policy and are under investigation by Reserve Bank and / or Directorate of Enforcement, are allowed to avail ECB only under the Approval route‚<U+0080>ù. Reserve Bank has constituted an Empowered Committee, consisting of members from the Reserve Bank as well as from outside for considering applications for ECBs from borrowers under the approval route."
150085,24.11.2009,FINANCE,UNSTARRED,464,MISS MABEL REBELLO,RELAXATION OF FISCAL CONSOLIDATION TARGETS OF STATES .,"(a) whether the Centre has relaxed fiscal consolidation targets of States to permit them an additional combined borrowing of Rs. 21000 crores during the current fiscal to combat economic slowdown; (b) whether Government`s move has gone a long way in raising impact of slow down and accelerating growth in medium term; (c) whether under Debt Consolidation and Relief Facility (DCRF) Centre provides debt and interest relief to those States who meet their physical deficit targets; and (d) if so, to what extent this decision of allowing States to borrow more has helped in meeting financial crises of States and to what extent it has been helpful to the country?","SHRI NAMO NARAIN MEENA MINISTER OF STATE IN THE MINISTRY OF FINANCE (a) to (d): The Fiscal Deficit target for States for 2009-10 has been relaxed from 3% to 4% of States` respective Gross State Domestic Product (GSDP), to enable States to borrow upto 4% of their GSDP as projected under the Debt Consolidation and Relief Facility (DCRF) guidelines, to undertake capital expenditure. Twelfth Finance Commission (TFC) recommended the DCRF over the period 2005-10. The Scheme has two components - (i) consolidation of central loans (from Ministry of Finance) contracted till 31.3.2004 and outstanding as on 31.3.2005, and (ii) provision of interest relief and grant of debt waiver to States based on their fiscal performance. Consolidation of central loans has given interest relief to States. Debt waiver is granted to States based on their fiscal performance, for which an assessment is made annually. Benefits under DCRF helped States by easing debt and interest pressures, and also incentivised States to follow the path of fiscal correction. This has facilitated the states to focus investment on development. Higher borrowings on account of relaxation of fiscal deficit target for 2009-10 will enable states to commit funds for capital expenditure, which will help in accelerating the growth revival in the medium term."
150086,24.11.2009,FINANCE,UNSTARRED,474,SHRI N. BALAGANGA,EDUCATIONAL LOAN,"(a) whether Government is aware that the students are facing problems in getting educational loans through public sector banks causing obstruction in their higher studies; (b) if so, what are the remedies proposed by Government to ease the formalities to enable the students to avail educational loan for their higher studies; (c) if so, the details thereof; and (d) if not, the reasons therefor?","(MINISTER OF STATE IN THE MINISTRY OF FINANCE) (SHRI NAMONARAIN MEENA) (a), (b), (c) & (d): The performance of Public Sector Banks under Education Loan Scheme of Indian Banks` Association (IBA) shows continuous growth in educational loans, in terms of amount, as well as, number of accounts. As per data of IBA, the total outstanding amount under education loans of Public Sector Banks as on 31st March, 2009 stood at Rs. 27646 crore, in 16,03,385 accounts. The increase in total loans outstanding over 31st March, 2008, in absolute and percentage terms, was Rs. 7829 crore and 39% respectively. Similarly, the number of accounts increased by 3,56,515 registering a growth of about 29% during the same period. Further, in order to provide better services to students across the country, the Public Sector Banks have been advised to institute an on-line system, not to reject/ pass on loan applications to other banks/branches on the grounds of age/ area of operation. The performance of Public Sector Banks under Education Loan Scheme is reviewed in quarterly meetings of Finance Minister with Chief Executives of Banks."
150087,24.11.2009,FINANCE,UNSTARRED,475,Shri Rajkumar Dhoot,FAKE CURRENCY IN ATM OF BANKS,"(a) whether it is a fact that after ATM and strong rooms of scheduled banks, fake currency has been found in Reserve Bank of India (RBI) which has all means to detect the same; (b) if so, how a common man is expected to detect the same while withdrawing money from banks and Government agencies; (c) what are the protections available to innocent persons in such cases; (d) whether Government can produce its own indigenous currency paper and ink different from imported ones to stop circulation of fake currency; and (e) if not, the reasons therefor?","THE MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA ) (a): Reserve Bank of India (RBI), New Delhi had detected 296 pieces of counterfeit notes while examining the notes received from the currency chests and the notes received across counters from the public in the month of September 2009. The denomination wise details of such counterfeits detected are given below:- Denomination Total pieces Rs.50 67 Rs.100 150 Rs.500 60 Rs. 1,000 19 Total 296 As per the prescribed procedure, RBI New Delhi filed an FIR on October 8, 2009 with the SHO, Police Station Parliamentary Street, New Delhi. (b) & (c) : As a part of awareness campaign, the Reserve Bank of India (RBI) has placed on its web site (www.rbi.org.in) extensive information on security features of Indian Banks notes. Banks are required to display posters on `Know Your Banknotes` at bank branches. A film on `Know Your Banknotes` got prepared by RBI through Films Division, has been supplied across their issue offices/Currency Chests, public utilities, theatres and other media for screening. Reserve Bank of India (RBI) has advised all the banks that they should ensure that only properly sorted and examined bank notes are put into circulation through counters and ATMs. In case a counterfeit note is detected in the cash received by the branch/treasury across the counter the same is impounded and forwarded to local police authorities for investigation by filing an FIR. (d) and (e):- Government is producing Currency paper in Security Paper Mill, Hoshangabad but the quantity so produced is not enough to meet the requirement. Therefore security paper is being imported from various countries. Action for setting up of more currency paper manufacturing units has been Initiated to meet most of the requirement. Similarly ink is produced at Bank Note Press, Dewas which produced 228 MT of intaglio ink during 2008-09 which represents 20% of the total consumption."
150088,24.11.2009,FINANCE,UNSTARRED,476,SHRI BRIJ BHUSHAN TIWARI,EMI CALCULATION METHODS,"(a) whether it is a fact that the method adopted by banks and finance companies for calculating Equated Monthly Instalments (EMI`s) is not transparent; (b) whether it is also a fact that the loanee`s are not informed of the method adopted by lending institutions; and (c) what steps Government plans to undertake to make the process of loan sanctioning, its disbursal, EMI calculation and pre-payment penalty, more transparent and consumer friendly?","THE MINISTER OF STATE IN THE MINISTRY OF FINANCE ( SHRI NAMO NARAIN MEENA ) (a) to (c) :- Reserve Bank of India (RBI) has issued guidelines on `Fair Practice Code for Lenders` which are required to be framed by Banks/Financial Institutions/Non Banking Financial Companies (NBFCs) duly adopted by their respective Boards. These guidelines which are revised periodically, inter-alia, stipulate that loan application forms in respect of all categories of loans irrespective of the amount of loan sought by the borrower should be comprehensive. It should include information about the fees/charges, if any, payable for processings the amount of such fees refundable in the case of non acceptance of application, pre-payment options and any other matter which affects the interest of the borrower, so that a meaningful comparison with that of other banks can be made and informed decision can be taken by the borrower. Further the banks are advised to inform `all-in-cost` to the customer to enable him to compare the rates charged with other sources of finance. In terms of RBI guidelines dated July 1, 2009 on `Loan and Advances - Statutory and other Restrictions`, the lender should convey to the borrower, among other things, the terms and conditions and other caveats governing credit facilities, in writing and duly certified by the authorised official. A copy of the loan agreement along with a copy each of all enclosures quoted in the loan agreement, should be invariably furnished to all the borrowers at the time of sanction / disbursement of loans. ` Further, Banks/Financial Institutions/NBFCs adopt an interest rate model taking into account relevant factors such as, cost of funds, margin and risk premium etc. and determine the rate of interest to be charged for loans and advances."
