sentiment,question,aspect,from,to
1,whether government has decided to convert pathankot mandi national highway into four lane,highway,67,74
2,whether government is promoting development of cold chains through the mission for integrated development of horticulture midh in the country if so the details thereof,promoting,22,31
0,whether it is a fact that export of cotton commodities has fallen by over 30 per cent in the last three years if so the reasons therefor,last,93,97
2,whether it is a fact that the total outstanding loans of public sector banks under education loan scheme has increased considerably,loans,48,53
0,whether lambagad stretch on national highway 58 in chamoli district of uttarakhand remains blocked for a very long period due to landslide and heavy rains,stretch,17,24
1,status of implementation of sarva shiksha abhiyan ssa and rashtriya madhyamika siksha abhiyan rmsa in puducherry in the last three years year wise and district wise,last,120,124
0,whether government is aware that water of river ganga has become badly polluted and is not fit for even irrigation purposes,water,33,38
2,whether government is aware that prices of pulses have increased exorbitantly due to their hoarding in the country,pulses,43,49
1,whether it is fact that indian space research organisation isro scientists and engineers are taking steps to the possibility of establishing navigation satellite system for the country,engineers,79,88
0,whether attention of the ministry has been drawn to the growing demand for a railway zone with vizag as headquarters and a local political leader even sitting on fast unto death,railway,77,84
2,the amount earmarked for scheduled caste special plan scsp and tribal sub plan tsp to the ministry for the last three years,last,107,111
2,whether government plans to tackle the serious issue of drug seizures on punjab s border with pakistan given that the seizures in punjab have increased by 200 per cent in the last two years,last,175,179
1,the production figures of foodgrains in kharif and rabi seasons during 2015 16,kharif,40,46
1,whether there has been a demand to raise the tenure of the chief of the central bureau of investigation cbi to five years if not at least three years,years,116,121
1,the measures being taken to minimize and manage the variability of wind and solar power,wind,67,71
1,what was the quantity of coal production of mahanadi coalfields at sambalpur in orissa during the last five years year wise,last,98,102
0,: the details of children who became orphans and destitutes due to earthquake tsunami and communal violence or riots during the last three years till date in the country state wise incident wise,last,128,132
1,whether government is implementing a central scheme the indira gandhi matritva sahyog yojana igmsy for pregnant and lactating mothers in the country,yojana,86,92
1,whether any request has been received from the uttar pradesh government to include two more districts of vindhyachal region under the piped drinking water scheme,drinking,140,148
1,a whether central government has received proposal for various railway projects from state government of maharashtra,railway,63,70
2,the names of those railways stations particularly the ones situated in metro cities where water supplied by railways was not found to be fit for consumption,railways,19,27
2,whether the government is considering to include safety parameters in contracts awarded to road builders,road,91,95
2,whether it is a fact that the prices of foodgrains have increased excessively during the last year,last,89,93
2,whether government has given its approval for the merger of state bank of india with its own five associate banks and the time by which merger will take place,bank,66,70
2,whether government is aware that incidents of theft robbery chain snatching in trains have increased in the past few years,trains,79,85
2,whether amid projections of a bumper wheat crop this year and considering the fact that the import duty on wheat had been reduced to zero from 10 per cent on the 8th december 2016 government is considering to impose import duty on wheat to safeguard the interests of the farmers if so the details thereof,bumper,30,36
2,whether the ministry is planning to have more than 500 smart railway stations in the country to compete with the smart cities concept,railway,61,68
0,whether in view of increasing road accidents in the country government has taken any proper steps to minimise the road accidents,road,30,34
1,whether government has held any meetings with stake holders in the deep sea fishery sector in last three months,last,94,98
2,whether government has revised the gdp growth set for the current year,year,66,70
1,the extent of teacher absenteeism in the elementary and secondary schools along with the details thereof state wise,teacher,14,21
1,the works undertaken to repair old bridges of railways in the eleventh five year plan zone wise,railways,46,54
2,how many requests for the grant of forest clearances for mining projects including coal and iron have been received by government since the year 2000,mining,57,63
2,a whether as per the new norms for empanelment with employees state insurance corporation esic for super speciality services hospitals have to obtain national accreditation board for hospitals and healthcare nabh accreditation,employees,52,61
1,whether government is aware that private schools are being run in four storeyed buildings built in 25 square yards in slum areas of delhi wherein students beyond its capacity are being taught,schools,41,48
1,the number of government government aided partially aided and non aided schools presently functioning in maharashtra,schools,72,79
1,whether government has recently decided to track every visiting foreigner from the time he she applies for an indian visa till he she boards the return flight,flight,152,158
1,the number of deemed universities running in the country and the number of students studying therein along with the details thereof state wise,universities,21,33
2,whether it is a fact that government has accepted the recommendations of commission for agricultural costs and prices cacp to increase the msp for wheat and paddy,wheat,147,152
1,the details of proposals relating to health received from the state government of andhra pradesh ap during the last three years along with the total number of pending proposals as on date and the amount involved therein and the amount released against these proposals: b the reasons for their pendency,last,111,115
1,the details of funds collected by nsdl under new pension system nps as on date from government employees and from private investors,employees,95,104
2,whether government is considering a demand to provide unused land on the eastern waterfront to the mumbai municipal corporation including that belonging to mumbai port trust and the saltpans areas of mumbai for infrastructure development housing industries tourism purpose etc,tourism,257,264
0,whether government is aware that water pollution in india is alarmingly increasing,water,33,38
1,whether two third area of rajasthan is sandy and the availability of ground water there is negligible due to continuous drought,ground,69,75
2,the details of the units along with their capacity which have been provided incentives and assistance for generation of solar energy after the declaration of solar mission state wise: b the targets of expansion in it for the next five years,solar,120,125
0,whether it is reportedly found that water of the river ganga fails to meet the drinking and bathing standards beyond hilly regions i e rishikesh,water,36,41
1,whether it is a fact that government had declared rivers brahmaputra and barak as national waterways on the floor of the parliament,rivers,50,56
1,whether it is a fact that the gross non performing assets npas of public sector banks psbs increased by 20 per cent between june and september 2011 the highest in the last several years,last,167,171
2,whether the supreme court has proposed setting up of a sit or appointment of retired apex court judge to monitor the functioning of a 10 member high power committee of top officers from cbi ed ib and other departments to deal with the black money cases,court,20,25
0,whether it is a fact that the indira gandhi national open university ignou indias primary vehicle for taking higher education to the poorest is today a case study in chaos which has closed hundreds of programmes and community colleges cancelled about 600 mous with institutions and suspended courses run through partner institutions in foreign countries,colleges,226,234
0,whether the ministry prefers a regulator for mining and wants a penalty on export of ore,mining,45,51
1,the consumption of cereals and pulses in the country during last three years and the quantity available thereof,last,60,64
1,details of fund provided to the state of mizoram for implementation of new land use policy nlup during the last three years,last,107,111
1,the details of districts which are not connected by national highways,highways,61,69
0,whether government proposed and urged private schools to keep 25 per cent of their seats for students from weaker and economically disadvantaged sections under the right to education act,schools,46,53
2,what are the details of the profit sharing plan between the displaced people and the beneficiary companies in the mining sector,mining,114,120
2,the amount allocated and released to bihar under the accelerated irrigation benefit programme during the last three financial years year wise,last,105,109
1,a the details regarding child labour obtained in census 2011 and whether it has been decided by the ministry to take any steps in the wake of those data,child,24,29
2,whether university grants commission grant for degree and other awards by universities regulation 2008 prescribes that degree award date s shall be within 180 days of the date s by which the students are expected to qualify and become eligible for grant of degrees,universities,74,86
1,whether government is working on a new integrated national food processing policy if so the details thereof,processing,64,74
2,the details about the universities institutions which have joined the unnat bharat abhiyan uba and the respective themes projects they are associated with,universities,22,34
1,whether it is a fact that world bank has put up a disclaimer clause in return for a rs 740 crore loan it has sanctioned for a watershed project in jammu & kashmir,bank,32,36
1,the present status of inter linking of rivers project in the country link wise,rivers,39,45
2,whether it is a fact that government has prepared any scheme at national level for recasting of the loans of power distribution companies discoms of the country,power,109,114
1,a whether the tamil nadu government has come forward to allocate rs 60 000 each for the construction of new houses for beedi workers in tamil nadu for which in the last three years rs 1 2 crores was allocated in the tamil nadu budget,last,164,168
1,a whether instructions are issued periodically by the ministry for facilities to be provided to contractual workers in the country at present and whether those instructions are being followed,contractual,96,107
2,the current status of the proposal of making power plants in rural areas eligible for renewable energy certificate,power,45,50
1,whether delhi police busted the racket of phone snooping by obtainingcall detail records cdrs data illegally by private detective agencies to make hefty amount,phone,42,47
1,the number of trains running from or passing through each state,trains,14,20
0,the number and particular of thermal power projects submitted by the orissa government that are pending with the ministry including 2 640 mw lanco babandh power limited dhekanal and 2x660 mw cesc limited power project at neulapoi district dhenkanal,thermal,29,36
1,whether it is a fact that deaths of wild animals and birds have been reported from wildlife sanctuaries in the country due to acute scarcity of water in the recent past,water,144,149
2,whether there is an increase in the number of private universities in the country during the last five years,last,93,97
1,whether government proposes to develop and modernize major railway stations under the ppp mode if so the details thereof,railway,59,66
2,the state wise rural and urban area wise and year wise details of the target set and achieved during the last three years including year 2016 17 for supply of pure drinking water and sanitation in the country,year,45,49
2,whether 44 central universities have agreed <u+0080><u+0098>in principle to use a common aptitude test along with class xii marks to admit undergraduate students,universities,19,31
1,whether it is a fact that in the past lakhs of people could not book potentially six lakh tickets because the indian railway catering and tourism corporation irctc website was down for more than 17 hours if so the details thereof,railway,117,124
0,whether government is aware of the fact that tribal children are facing serious problem of malnutrition throughout the country,children,52,60
1,the number of defence officers posted to operate the unit run canteens urcs in various parts of the country during the last three years state wise and canteen wise details thereof,last,119,123
1,the details of proposals for development of bell metal industry at sarthebari and hajo in assam,industry,55,63
2,whether a large number of gas based power projects have not been commissioned for want of adequate and uninterrupted supply of gas,power,36,41
0,whether several persons have lost their lives in train accidents during last few years,last,72,76
1,whether government proposes to set up drinking water plants projects under the public private partnership ppp mode,plants,53,59
1,the number of villages in the country which are not connected with roads till date,roads,67,72
0,whether the central government has taken a decision to constitute a single tribunal to deal with all inter state river water disputes by dispensing with various existing tribunals,river,113,118
1,the current framework to regulate and oversee co operative banks and thousands of crores of deposits,banks,59,64
2,whether it is a fact that the state bank of india sbi grants housing and other loans upto the age of 70 whereas other banks stricts it upto the age of 60,bank,36,40
2,whether it is a fact that production of fruits and vegetables has increased in the country during the year 2009 2010,fruits,40,46
2,the percentage of increase in prices of edible items commodities of daily use and vegetables etc from june 2014 till date,edible,40,46
1,what was the volume of employment in the organised and unorganised sectors of the economy during the years 2012 13 2013 14 and 2014 15,years,101,106
1,the details of cultivable wasteland in andhra pradesh in the last five years district wise with a particular reference to visakhapatnam and year wise,last,61,65
0,whether a safety audit conducted by northern railway at new delhi railway station has found a lot of loopholes such as defective fire extinguishers cctv cameras baggage scanners etc,railway,45,52
1,the details of the length in kilometers and the place where national highways are proposed to be constructed in uttar pradesh during the year 2012 13,highways,69,77
2,whether gujarat government has recommended a proposal for prior approval of the ministry for gujarat mineral development corporation limited gmdcl mining lease application of lignite bearing area of 1251 hectares in district bharuch in 1999,mineral,101,108
0,whether it is a fact that no progress so far has been made on running of high speed and ultra high speed trains,trains,105,111
2,whether it is a fact that government wish to operate and use water transport between agra and delhi,water,61,66
0,whether there is a plan currently under consideration of the government to develop parameters to quantify the consequences of drug abuse in india as drug addiction related suicides are the only reliable all india statistics to gauge the extent of drug problem,abuse,131,136
2,the progress so far made in according constitutional status to the national commission for minorities,constitutional,38,52
2,whether india has recently concluded an agreement with canada for cooperation in peaceful uses of nuclear energy,canada,55,61
1,whether it is a fact that prime minister had in the recent past appointed shunglu panel on financial condition of power distribution companies in the country,power,114,119
2,whether government has envisaged a new and better policy to strengthen india association of southeast asian nations asean ties specially in relation to trade investment and cultural relations if so the details thereof,asean,116,121
0,the names and details of fake universities in the country,universities,30,42
0,whether it is a fact that a medical examination in rape cases sometimes does not fully confirm the offence and many a times exact report does not come out due b whether it is possible that a sample collected from medical examination in such severe cases is sent to three four different hospitals at a time so that the doctors remain under pressure and nobody could influence the investigation process and severe action can be taken against the culprits after getting the examination report in a prescribed time period,doctors,318,325
0,whether there is any proposal to infuse about ? 20 000 crore into public sector banks which show weak performance,banks,80,85
1,the details of railway stations developed by government under the adarsh and model railway stations schemes in odisha,railway,15,22
1,whether his ministry has any proposal under consideration for extension of vadodara ahmedabad expressway upto rajkot and from rajkot to mumbai,expressway,94,104
1,the quantum of loans disbursed by sbi for various schemes during last three years and the amount of such loans which have not been recovered so far,last,65,69
0,whether government is monitoring current international developments against iran as this may adversely impact on our nation as we are importing 70 percent of our crude requirement from iran,iran,76,80
0,whether government has conducted any study during the last six months to allay the fears on the utility of the uid numbers from various quarters,last,54,58
1,the number of cbse students in the country who have received 90 per cent and above marks in the twelfth standard board examinations year wise details since three years,three,156,161
0,whether government is planning to restrict airfares being charged by the airlines between cities having travel time less than one hour in regional connectivity scheme,airlines,73,81
1,the details of funds allocated released and spent under the pradhan mantri gram sadak yojana pmgsy during the last three years and the current year in himachal pradesh,last,110,114
0,the state wise details of civilians and police personnel including para military forces killed and injured in naxal attacks encounters during the current year so far state wise,civilians,26,35
1,whether it is a fact that the federation of airlines has suggested government to set up economic regulation,airlines,44,52
1,whether government has any data about on demand examinations in nationalinstitute of open schooling nios for students of standards 10th and 12th duringthe last five years,last,155,159
1,whether some efficient power stations are facing coal shortage at present while plants with low utilization are possessing abundant fuel,power,23,28
0,whether it is a fact that there is a difference of opinion between the department of telecommunications dot and the telecom regulatory authority of india trai over the issue of cancelling licences on account of failure of telecom operators to discharge fixed responsibilities,telecom,116,123
1,the number of dyslexic children in the country,children,23,31
0,whether railways have suffered huge losses due to various train accidents in the past few years,railways,8,16
1,whether government is contemplating to open more central universities in various parts of the country,universities,57,69
1,whether it is a fact that channel road for nh 5 from chennai to kolkata has not yet been completed especially in the portion from balasore to bhadrak and bhubaneswar to ichchapur,road,34,38
1,whether it is a fact that several underground coal mines are not amenable to total mechanization,coal,46,50
2,whether it is a fact that government is yet to set up a national military memorial to honour the scores of armed forces personnel who have sacrificed their lives for the nations even after 60 years of independence,forces,113,119
1,the present status of small hydro power projects along with the number of projects functioning in the country state wise,hydro,28,33
0,whether as per the recent cag report railways are serving food unfit for human consumption and supplying filthy and unhealthy linen and blankets in trains if so the details thereof,railways,37,45
1,whether it is a fact that two private companies in association with a government company have signed an mou to carry out bauxite mining in vishakapatnam district in andhra pradesh,bauxite,121,128
0,whether seven million children under 5 years are severely malnourished,years,39,44
1,the total production of pulses during the last three years in the country yearwise,last,42,46
0,whether many highway projects have been held up due to delay in acquiring land arbitration cases and court cases,highway,13,20
2,whether there is a huge backlog of claims pending in various railway claims tribunal rcts if so the details thereof along with the reasons therefor,railway,61,68
2,whether the issue relating to sharing of ravi and beas water between haryana punjab rajasthan and delhi is pending for many decades,water,55,60
1,whether government proposes to amend the environment protection act and or legislations regarding air and water pollution,water,106,111
1,whether the road projects of the border roads organisation bro including the strategic border roads are running behind schedule,road,12,16
1,whether government is aware of the fact that the baljek airport project of the aai has been completed but has not become functional,airport,56,63
1,governments guidelines forproviding water and sanitation facilities inrural and hilly areas of the country,water,36,41
1,the number of sarva shiksha abhiyan schools that have been shut down since 2008 till date state wise and year wise,year,105,109
2,the reasons for bsnl signals not reaching the consumers of uttarakhand whereas the signals of the private mobile operators are easily reaching their consumers,signals,21,28
2,what is the share of the technology upgradation fund scheme tufs that went to the jute industry for the eleventh five year plan and how does this share compare with the share of jute industry in the overall textile industry,industry,87,95
2,whether it is a fact that more than 1600 cases of road projects with claims valued at ` 11 084 crores pending with various tribunals and courts involving major players like l&t lanes etc,road,50,54
0,whether government has received complaints about private companies collecting toll on various highways of the country in contravention of the rules,toll,78,82
2,a whether it is a fact that railways are going to buy electricity from state utilities and central power generation companies through open tenders as well as through inter state trading with an aim of reducing the power bill by nearly one third,electricity,54,65
1,whether there has been a nexus between the private traders of mobile towers and the authorities in the erection of towers indiscriminately in and around living urban areas,mobile,62,68
1,whether government is aware of the concern of the people on dire need for adequate space for children and young people to play especially in big metropolitan cities,children,93,101
2,the course wise details of post matric scholarships given to the students belonging to sc st and obc respectively,students,65,73
2,whether it is a fact that due to several power projects coming up in coastal areas of the konkan region of maharashtra the pollution level has increased considerably affecting the livelihood of fishermen and affecting mango production,power,41,46
1,whether it is a fact that the ministry has mooted a proposal to lower the prices of rice and wheat at rs 3 kg and rs 2 kg respectively,rice,84,88
2,the number of projects targeted for award on ppp mode for major ports in the country during the last five years year wise and port wise,last,96,100
1,whether it is a fact that government is working on identifying rohingya muslims who have entered the country from myanmar over the past five to seven years,years,150,155
0,the details of cases of rape molestation and misbehaviour with women and girls registered during last three years and the current year in trains zone wise and year wise,last,97,101
1,the length of broad gauge meter gauge and narrow gauge railway lines in eachstate as on 31 march 2013,railway,55,62
1,the details of total number of industrial training institutes itis opened by government from 2013 to 2016 state wise including chattishgarh,institutes,51,61
1,the number of new coaches recruited in last three years game wise state wise,last,39,43
2,whether it is a fact that a huge chunk of railway land in the country is under encroachment,railway,42,49
1,whether it is a fact that the average ground water level in tamil nadu has declined considerably during the last five years,last,108,112
0,whether it is a fact that the work on the reactors at jaitapur has been significantly delayed and it is now expected to go on stream in 2015,reactors,42,50
2,whether government has any proposal to encourage the generation of solar energy through mass movement by involving self help groups shgs non governmental organisations ngos etc,energy,73,79
2,whether it is a fact that the remote rural areas as well as the settlements of scheduled castes and scheduled tribes in several states of the country continue to be acutely power deficient,power,173,178
1,whether government has received any proposal from the state government of himachal pradesh for construction of road in chavvara section in ambai gumna jalwadi mangara and connecting road barwoli nandla in shimla district under pradhan mantri gram sadak yojana pmgsy during the year 2009 10,road,111,115
1,whether the state bank of india sbi have initiated a proposal to bailout kingfisher airlines kfa by sanctioning additional loan exposure of rs 1500 crore,bank,18,22
1,whether it is a fact that air india has grounded all the dreamliners which it recently purchased,air,26,29
0,whether it is a fact that large parts of the country are facing acute shortage of drinking water with the onset of summer season,drinking,82,90
2,whether government is trying to strengthen the monitoring procedure in view of increasing dimensions of media and entertainment industry,industry,128,136
1,whether all power projects which are under construction in rajasthan are running behind their prescribed schedule of completion by 2 3 years,power,12,17
2,whether railways have prioritized certain projects under its fast track implementation of projects scheme,railways,8,16
1,the number of waqf properties developed by the national waqf development corporation during the last two years and the expenditure incurred by it on those properties and the details thereof,last,96,100
1,whether the gauge conversion project between sengottai and punalur section of 49 kilometers with 950 meters of tunnel in tamil nadu is delaying for long time,kilometers,81,91
2,the progress of each of the two textile parks proposed in the state of andhra pradesh,textile,32,39
1,the rate of inflation for the last three months as per the consumer price index,last,30,34
1,the amount collected from gujarat as petrol cng lpg and diesel cess during the last three years,last,79,83
2,the quantum of loans taken by government from international organizations including world bank and asian development bank year wise since 2005 the details of each organization organization wise: b the details of these loans including time period and interest rates: and c the details of projects undertaken with these loans?,loans,15,20
0,whether government has taken cognizance of numerous deaths caused during operations after the operations due to wrong treatment and negligence at various hospitals and nursing homes all over the country,nursing,168,175
1,the number of deaths by two wheelers that have occurred in the country during the last five years due to the rider`s not wearing helmet,last,82,86
1,what is the year wise data on the number of companies that have been placed in the category of a<u+0080><u+0098>vanishing companiesa over the past five years,year,12,16
2,the names of legislations which are being prepared under the direction suggestions of the supreme court with reference to the judgement in question,legislations,13,25
1,the total amount released to maharashtra urban local bodies under various plans and scheme in last five years,last,94,98
2,whether it is a fact that ministries of environment & forests and labour and employment are unwilling to ease norms and simplify the procedures of approvals thereby manufacturing policy is not being finalised,forests,54,61
2,whether government proposes to conduct a study to assess the carrying capacity of all the major and lesser known tourist hot spots including places of pilgrim across the country to regulate the flow of tourists and ensure a climate resilient to tourism in the country,tourism,245,252
1,whether it is a fact that foreign students are flocking to indian universities,students,34,42
0,whether it is a fact that the instances of violence among children have been continuously increasing since last 15 to 16 years,last,107,111
1,whether government has taken cognizance of the reports which are creating panic in the minds of the people by making different statements regarding the himalayan glaciers and the drying of the rivers like ganga and yamuna,rivers,193,199
1,the amount allocated under centrally sponsored scheme under the ministry to assam state during financial years 2004 10,years,105,110
1,what is the plan target for power generation by private sector units,power,28,33
2,whether government proposes to augment renewable energy capacity in the rural areas where it is having large social impact,renewable,39,48
2,whether it is a fact that for implementation of expressway projects government is considering various options including township development at certain pre identified locations along the expressway,expressway,48,58
0,whether it is a fact that a personnel of paramilitary force who is killed in a terrorist encounters or any other encounters while safeguarding the borders is not awarded the status of a martyr in record whereas if an army personnel gets killed in any such encounters he is awarded the status of a martyr,paramilitary,41,53
2,whether a case of discrimination with the labourers of uttar pradesh and bihar and giving them opportunity for banking transaction only for one day by a nationalized bank has come to the notice of government as they wear dirty clothes and persons who come wearing neat and clean clothes have difficulty with them,nationalized,153,165
1,whether government has any mechanism to monitor that a rain water harvesting system is in place in every building that qualifies for the same in the states where it has been made mandatory by the state governments,rain,55,59
0,whether government is aware about the accidents in coal mines and loss of human lives in those accidents,coal,51,55
1,a whether kudankulam nuclear power project and kakrapar heavy water plant were hit by snag like leak recently if so the details thereof,nuclear,21,28
1,the current status of the establishment of the jan lokpal,lokpal,51,57
1,whether government is aware that the tribals in the country are dispossessed and disowned people whose forest lands have been taken away even by government in the name of reserves and protecting forests with the result that they have no means of livelihood,forests,195,202
2,whether it is a fact that supreme court of india has given instructions to various states of the country to trace missing children,children,122,130
1,whether it is a fact that in the mumbai suburban railway networks of both central and western railways there is a gap between the emu rakesa entrance footboard and the level of the platforms,railway,49,56
2,whether drop out rate of students for classes i v classes i viii and classes i x during 2009 10 provisional in the country are 28 86 per cent 42 39 per cent and 52 76 per cent respectively,students,25,33
0,whether government is planning to collect a reserve price for allotment of coal blocks to any company in future,coal,75,79
1,whether railways propose to introduce a shatabdi train from delhi to ludhiana via meerut saharanpur,railways,8,16
1,the details of the military airports used for purpose of civil aviation in differentparts of country,airports,28,36
1,whether the national green tribunal ngt had questioned the effectiveness of governments efforts in cleaning the river ganga and reportedly stated that not a single drop of the ganga has been cleaned so far,river,112,117
1,whether the ministry is aware that students studying in schools colleges and other educational institutions in most parts of the country are taking drugs and have become drug addict,students,35,43
1,whether the ministry has ever conducted a study or assessment about the requirement of coal for producing 1 mw of power,mw,108,110
0,whether it is a fact that students coming from state boards have generally lower marks that students of central boards and hence face trouble getting admission in central state universities,students,26,34
1,whether government proposes for development of airports in madhya pradesh,airports,47,55
2,whether india and the us during the visit of the us secretary of defence signed the 2015 us india defence framework agreement to deepen bilateral defence cooperation in several security related areas if so the details thereof,bilateral,136,145
2,whether government provides economic assistance to state for laying of roads to connect important religious and tourist sites and if so the details thereof,roads,71,76
1,whether it is fact that there is provision for new railway lines for chhattisgarh in the railway budget 2012,railway,51,58
1,whether it is a fact that cases of malnutrition in children and anaemia have been reported to be rising in assam and north eastern region,malnutrition,35,47
1,a : whether banks have identified 74 projects for which ? 55 000 crore of loans have been sanctioned and which have either turned non performing assets npas or where promoters have delayed payments if so the details thereof project wise,banks,12,17
1,the present status of doubling and electrification of rail lines in north eastern region,rail,54,58
1,the detail of total number of registered orphanages in the country state wise,wise,73,77
1,whether government proposes to set up more power grid stations in the country,power,43,48
1,whether it is a fact that there is few days of coal reserves for thermal power plants in the country,thermal,65,72
2,whether reserve bank of india rbi has issued instructions to various banks to pay interest on saving banks accounts on a quarterly basis or shorter duration,bank,16,20
1,whether government has issued guidelines allowing state entities with sound financial health to borrow directly from bilateral overseas lending agencies such as japana s jica to fund infrastructure projects if so the details thereof,lending,136,143
2,whether government is aware that several coal based power plants in the country are running at half of their optimal capacity,power,52,57
1,whether it is a fact that the technological upgradation fund scheme tufs expires in march this year,year,95,99
0,whether there has been a cut in the budget for social sector schemes in the financial year 2015 16 if so reasons therefor,year,86,90
1,the details of schemes being implemented in the food processing sector state wise,processing,53,63
2,whether more than 12 000 contractor workers are engaged in perennial nature of jobs in neyveli lignite corporation for number of years,years,129,134
0,whether it is a fact that the passenger service fee psf charges collected at delhi airport has not been deposited to the government for the last few years,airport,83,90
1,details of funds allocated and utilized in puducherry under mid day meal scheme in the last five years year wise and district wise,last,87,91
1,the state wise details of foreign tourists who visited the country during the years 2012 13 2013 14 and 2014 15,years,78,83
1,whether government has conducted a survey regarding education of children with disabilities,children,65,73
1,whether it is a fact that the storage capacity of food corporation of india fci is almost stagnant over the last few years,last,108,112
2,whether it is fact that traffickers are using delhi as a centre to sell minors for marriage prostitution and to work as domestic helps,marriage,83,91
2,whether wheat production in the country may enhance 6 4 per cent to a record for a fourth year after favourable weather and high prices boosted planting,wheat,8,13
0,whether it is a fact that call centres for helping road accident victims on national highways in the country have not been fully operational and are still under testing stage only,road,51,55
1,whether railways have noted demand for a second terminal for entrance and tickets at kollam station in kerala,railways,8,16
1,funds provided under scheduled castes sub plan scsp by government in the last two years state wise,last,73,77
1,the states which have been producing ethanol during the last three years year wise and state wise,last,56,60
1,when the report of d p tripathi committee on loco running staff was presented to railways,railways,81,89
0,the total number of train accidents took place in last 3 years total loss of lives and property,last,50,54
2,whether it is a fact that planning commission has submitted a report to the supreme court that water of the ganga fails to meet the drinking and bathing standards beyond garhmuketeshwar west uttar pradesh,water,95,100
2,whether the use of solar energy is increasing in the country,solar,19,24
1,the number of shgs formed in the country state wise,wise,47,51
1,whether it is a fact that there is a mismatch between demand and supply position of drinking water in india at present,drinking,84,92
0,whether the ministry is aware that despite its campaign of digital india several villages in the country do not possess internet connectivity and the ones which possess have extremely poor internet speeds,internet,120,128
0,whether the ministry had cancelled recognition of deemed univesities last year,last,69,73
1,whether it is a fact that government is planning to review sector wise npa resolution if so the details thereof,npa,71,74
1,whether government proposes to enhance the maximum amount of coverage allowed under rashtriya swasthya bima yojana to rs 1 00 000 per annum,rashtriya,84,93
2,whether it is a fact that government has decided to create a national electricity fund to give subsidized credit to the power sector in the country including power distributing companies,electricity,70,81
0,whether the power grid failed on 30 and 31 july 2012 for a number of hours,power,12,17
1,whether government is adopting any new technology for the aircrafts which can fly in thick fog conditions keeping in view the growing fog conditions particularly in delhi new delhi,aircrafts,58,67
1,whether government is aware that 190 colleges in madhya pradesh had given admission to 29 773 tribal students in the last three years but only 4896 studentsappeared in para medical examination,last,117,121
2,whether chhattisgarh government has submitted a proposal to the central government for 519 roads under the pradhan mantri gram sadakyojana pmgsy during 2012 13 the number of roads which have been approved and by when the remaining roads would be approved,roads,91,96
1,whether railways have floated a global tender for procurement manufacturing and maintenance of one hundred and fifty six electric multiple unit emu train sets or three hundred fifteen rail cars if so the details thereof,railways,8,16
1,whether the aviation companies are charging original fare tax and other charges along with air traffic congestion charge from the passengers,air,91,94
0,whether it is a fact that a number of indian students are forced to wear radio collars after being cheated by a california based university in usa so that the administration can keep watch on their activities,students,45,53
0,whether it is a fact that a number of power projects have stopped functioning due to shortage of coal,power,38,43
1,the delivery schedule fixed for handling over of ins vikramaditya gorshkov aircraft carrier to indian navy after completion of repairs and sea trials,aircraft,75,83
1,whether the growth registered in tourism sector during the last three years is substantially lower than estimated,last,59,63
1,whether it is a fact that after declaring the naval version of the indigenous light combat aircraft a<u+0080><u+0098>tejasa unfit for operating from aircraft carriers in its present form the navy has launched a global hunt for a carrier based multi role fighter aircraft if so the details thereof,aircraft,91,99
2,whether it is a fact that most of the passenger trains plying in kerala run with insufficient number of coaches resulting in crowded compartments and huge demand for reservation,passenger,38,47
2,whether the regulatory system of the country has developed testing protocols and guidelines for the safety appraisal of herbicide tolerant ht crops particularly for ht mustard,mustard,168,175
2,the details of the rate of economic growth in various states of the country during the last three years and the current year,last,87,91
1,whether during the year 2015 16 many state governments have taken up the works under the national rural drinking water programme nrdwp,drinking,104,112
1,the reasons for the sail board of directors not approving the construction of its steel plant at lassipora pulwama in j&k even three years after laying of its foundation by government,years,133,138
1,the number of village grain banks established in assam during the last three years district wise and year wise,last,66,70
1,whether government has identified the units polluting the two big rivers of the country the ganga and the yamuna,rivers,66,72
0,the details of each of the eleven captive coal blocks cancelled by the ministry,coal,42,46
1,the details of funds received by various non governmental organisation ngos from aboard during each of the last three years and the current year,last,107,111
1,whether it is a fact that in order to address the sufferings of wait listed passengers railway board is planning to start a <u+0080><u+0098>clone train for passengers with wait listed tickets half an hour after the main train starts,railway,87,94
0,the number of suicide by farmers occurred in the country and specifically in odisha during the last three years and the current year so far,last,95,99
1,whether it is a fact that there are several registered mines working in the country and if so the details thereof state wise,mines,55,60
2,the details of total sanctioned staff strength in the ministry group wise i e group a to group d,wise,69,73
1,whether after reports from united states that afghanistan has untapped mineral resources worth $1 trillion rs 45 lakh cror e the war ravaged country has invited india to bid for and develop its mines to feed india`s burgeoning steel industry,mineral,71,78
1,whether it is a fact that there is acute shortage of rooms and play grounds in the schools of maharashtra and rest of the country,schools,83,90
2,the current phase of the pradhan mantri gram sadak yojana pmgsy under progress in the country as well as in uttar pradesh maharashtra and haryana,yojana,51,57
0,whether local people and public representatives have demanded for laying of a new railway line between rudrapur kichha sitarganj nanakmatta khatima tanakpur railway track in kumaun division of uttarakhand,railway,82,89
0,whether government has implemented any new scheme to meet the various requirements of poor children for primary and secondary level education in backward areas of uttar pradesh,secondary,116,125
2,a : whether any performance impact assessment of joint ventures operating our green field airports has been done to find out if these have achieved the desired objectives,airports,90,98
2,whether government has any policy to ensure that children are not ill treated in situations where government agencies evict them from their land and houses,children,49,57
